Song Group,Video Title,Video ID,URL
Hikky Burr,1991-1992 Vermilion Sailor Marching Band - Hikky-Burr,wEIRKI9Je4Q,https://www.youtube.com/watch?v=wEIRKI9Je4Q
Hurts So Bad,2002-2003 Vermilion Sailor Marching Band - Hurts So Bad - Senior Show,oFx4ZNf7PTY,https://www.youtube.com/watch?v=oFx4ZNf7PTY
I Believe,1999-2000 Vermilion Sailor Marching Band  - Senior Show - I Believe,BNpSWynPPmI,https://www.youtube.com/watch?v=BNpSWynPPmI
I Believe,1997-1998 Vermilion Sailor Marching Band - I Believe,fL-MLvrFtG0,https://www.youtube.com/watch?v=fL-MLvrFtG0
I Believe,1997-1998 Vermilion Sailor Marching Band - I Believe,XhiIkQFQOR8,https://www.youtube.com/watch?v=XhiIkQFQOR8
I Can See For Miles,1997-1998 Vermilion Sailor Marching Band - I Can See For Miles,7W5xFvaBszs,https://www.youtube.com/watch?v=7W5xFvaBszs
I Can See For Miles,2004-2005 Vermilion Sailor Marching Band - I Can See For Miles,KyzZu_phac4,https://www.youtube.com/watch?v=KyzZu_phac4
I Can See For Miles,1997-1998 Vermilion Sailor Marching Band - I Can See For Miles,mndu8-qYm14,https://www.youtube.com/watch?v=mndu8-qYm14
I Can See For Miles,2008 Vermilion Sailor Alumni Band - I Can See For Miles,iZoBk6-vfQM,https://www.youtube.com/watch?v=iZoBk6-vfQM
I Do,1995-1996 Vermilion Sailor Marching Band - I Do - With 8th Grade,4Zm8klwJODg,https://www.youtube.com/watch?v=4Zm8klwJODg
I Dreamed a Dream,2002 Vermilion Sailor Alumni Band - Second Source - I Dreamed A Dream,8bmtNGen05Q,https://www.youtube.com/watch?v=8bmtNGen05Q
I Dreamed a Dream,1988-1989 Vermilion Sailor Marching Band - I Dreamed A Dream,1iz03WFR4is,https://www.youtube.com/watch?v=1iz03WFR4is
I Dreamed a Dream,2002 Vermilion Sailor Alumni Band - I Dream a Dream,4xrOw8roS_0,https://www.youtube.com/watch?v=4xrOw8roS_0
I Write The Songs,1989 Vermilion Sailor Alumni Band - I Write The Songs,EeCY3sJB9f8,https://www.youtube.com/watch?v=EeCY3sJB9f8
I'd Like To Buy the World a Coke,2002 Vermilion Sailor Alumni Band - I'd Like To Buy The World A Coke,9ruKM6w8TYA,https://www.youtube.com/watch?v=9ruKM6w8TYA
I've Got The Music In Me,2011 Vermilion Sailor Alumni Band - I've Got The Music In Me,emblCjCfa2E,https://www.youtube.com/watch?v=emblCjCfa2E
Impression That I Get,1998-1999 Vermilion Sailor Marching Band - The Impression That I Get,jZLeEhwsqng,https://www.youtube.com/watch?v=jZLeEhwsqng
Impression That I Get,2010 Vermilion Sailor Alumni Band -  Impression That I Get,-ukYMOYYtrw,https://www.youtube.com/watch?v=-ukYMOYYtrw
In A Gadda Da Vida,1994-1995 Vermilion Sailor Marching Band - Inna Gadd Da Vida,6wBYdYCTpY0,https://www.youtube.com/watch?v=6wBYdYCTpY0
Into The Future,2005-2006 Vermilion Sailor Marching Band - Into The Future,tVZ6XPFwz4A,https://www.youtube.com/watch?v=tVZ6XPFwz4A
Into The Future,1997-1998 Vermilion Sailor Marching Band - Into The Future,VqPMRStCp4k,https://www.youtube.com/watch?v=VqPMRStCp4k
Into The Future,2013 Vermilion Sailor Alumni Band - Into The Future,88U1EdpJ-LY,https://www.youtube.com/watch?v=88U1EdpJ-LY
Into The Future,1997-1998 Vermilion Sailor Marching Band - Into The Future,JgwjVhtQh8A,https://www.youtube.com/watch?v=JgwjVhtQh8A
Jazzin',2023 Vermilion Sailor Alumni Band - Jazzin' - Practice,c95V7PVXOz8,https://www.youtube.com/watch?v=c95V7PVXOz8
Jazzin',2023 Vermilion Sailor Alumni Band - Jazzin',aRBDUqAXdn8,https://www.youtube.com/watch?v=aRBDUqAXdn8
Jazzin',2009 Vermilion Sailor Alumni Band - Jazzin',nANG4HzCMnI,https://www.youtube.com/watch?v=nANG4HzCMnI
Johnny B. Goode,2000-2001 Vermilion Sailor Marching Band - Johnny B Goode,0Z1hERKOyH8,https://www.youtube.com/watch?v=0Z1hERKOyH8
Johnny B. Goode,1986-1987 Vermilion Sailor Marching Band - Johnny B Goode,wDB-mm5fQPU,https://www.youtube.com/watch?v=wDB-mm5fQPU
Johnny B. Goode,2000-2001 Vermilion Sailor Marching Band - Johnny Be Good,uK1JR5ocAek,https://www.youtube.com/watch?v=uK1JR5ocAek
Joshua,1994 Vermilion Sailor Alumni Band - Joshua,tmnES7dr03k,https://www.youtube.com/watch?v=tmnES7dr03k
Joshua,1987 Vermilion Sailor Alumni Band - Joshua,m4jfyTYo2pI,https://www.youtube.com/watch?v=m4jfyTYo2pI
Joy To The World,2003-2004 Vermilion Sailor Marching Band - Joy To The World,S9H0-tas3AE,https://www.youtube.com/watch?v=S9H0-tas3AE
Joy To The World,2008 Vermilion Sailor Alumni Band - Joy To The World,wnlN2JCuf8I,https://www.youtube.com/watch?v=wnlN2JCuf8I
Jump,1999-2000 Vermilion Sailor Marching Band  - Jump Jive and Wail,7Jl2kG0fYKw,https://www.youtube.com/watch?v=7Jl2kG0fYKw
Jump,2013-2014  Vermilion Sailor Marching Band - Jump,URO-vR3KoVM,https://www.youtube.com/watch?v=URO-vR3KoVM
Jump,2013-2014 Vermilion Sailor Marching Band  -  Jump -  Band Review,EfohRuRJASY,https://www.youtube.com/watch?v=EfohRuRJASY
Knock on Wood,2022 Vermilion Sailor Alumni Band - Knock on Wood,BWJcsvjyckc,https://www.youtube.com/watch?v=BWJcsvjyckc
Knock on Wood,2009 Vermilion Sailor Alumni Band - Knock on Wood,ej6QHc9CF5Q,https://www.youtube.com/watch?v=ej6QHc9CF5Q
La Bamba,1988-1989 Vermilion Sailor Marching Band - La Bamba,A-kmsL9bm2g,https://www.youtube.com/watch?v=A-kmsL9bm2g
Land of a Thousand Dances,2003-2004 Vermilion Sailor Marching Band - Land of A Thousand Dances,ql6N5Noj2DY,https://www.youtube.com/watch?v=ql6N5Noj2DY
Lassus Trombone,1990 Vermilion Sailor Alumni Band - Lassus Trombone,f33-cyy1YZ8,https://www.youtube.com/watch?v=f33-cyy1YZ8
Layla,1993-1994 Vermilion Sailor Marching Band - Layla - Full Show 1,o5JYR7pBUfE,https://www.youtube.com/watch?v=o5JYR7pBUfE
Layla,1993-1994 Vermilion Sailor Marching Band - Layla - V Firelands,yITHuOi9OEM,https://www.youtube.com/watch?v=yITHuOi9OEM
Layla,1993-1994 Vermilion Sailor Marching Band - Layla -  Dover Festival,2YzOXnkAwsY,https://www.youtube.com/watch?v=2YzOXnkAwsY
Leap Frog,2002 Vermilion Sailor Alumni Band - Second Source  - Leapfrog,yqmwss1APpE,https://www.youtube.com/watch?v=yqmwss1APpE
Leap Frog,1992-1993 Vermilion Sailor Marching Band - Leapfrog - Full Show 5,tV7upq4Y3jQ,https://www.youtube.com/watch?v=tV7upq4Y3jQ
Leap Frog,1992-1993 Vermilion Sailor Marching Band - Leapfrog - V John Adams,nXuj6INTYcA,https://www.youtube.com/watch?v=nXuj6INTYcA
Leap Frog,1992-1993 Vermilion Sailor Marching Band - Leapfrog - Full Show 1,48-2BBbjDD0,https://www.youtube.com/watch?v=48-2BBbjDD0
Leap Frog,2002 Vermilion Sailor Alumni Band - Leap Frog,wT6EW4j7Oak,https://www.youtube.com/watch?v=wT6EW4j7Oak
Lock You Up,2000-2001 Vermilion Sailor Marching Band - Lock You Up,X1wrDVnDyVU,https://www.youtube.com/watch?v=X1wrDVnDyVU
Lock You Up,2000-2001 Vermilion Sailor Marching Band - Lock You Up,_a3EWCdnfwk,https://www.youtube.com/watch?v=_a3EWCdnfwk
Long Train Runnin',2022 Vermilion Sailor Alumni Band - Long Train Runnin,7cv01PDcL3s,https://www.youtube.com/watch?v=7cv01PDcL3s
Long Train Runnin',1999-2000 Vermilion Sailor Marching Band  - Long Train Running,IC1DTCXBiQg,https://www.youtube.com/watch?v=IC1DTCXBiQg
